customerID,gender,SeniorCitizen,tenure,Tenure Range,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Country,State,City,Age,Under 30,Married,Premium Tech Support,Total Revenue,Satisfaction Score,Customer Status,Churn Category
3445-HXXGF,Male,1,58,Loyal Customer,DSL,Month-to-month,Electronic check,45.3,2651.2,Yes,United States,California,Sierra Madre,66,No,Yes,No,2610.25,1,Churned,Dissatisfaction
1875-QIVME,Female,0,2,New Customer,Fiber optic,Month-to-month,Electronic check,104.4,242.8,Yes,United States,California,Tujunga,26,Yes,Yes,Yes,220.38,3,Churned,Attitude
0691-JVSYA,Female,0,53,Loyal Customer,Fiber optic,One year,Bank transfer (automatic),94.85,5000.2,Yes,United States,California,Pasadena,24,Yes,Yes,No,7134.51,1,Churned,Competitor
2656-FMOKZ,Female,1,15,Medium,Fiber optic,Month-to-month,Mailed check,74.45,1145.7,Yes,United States,California,Pasadena,70,No,No,No,1806.75,2,Churned,Dissatisfaction
2070-FNEXE,Female,1,7,New Customer,Fiber optic,Month-to-month,Bank transfer (automatic),76.45,503.6,Yes,United States,California,Pasadena,77,No,No,No,681.2,2,Churned,Price
6317-YPKDH,Female,0,1,New Customer,DSL,Month-to-month,Bank transfer (automatic),29.95,29.95,Yes,United States,California,Glendale,54,No,No,No,29.95,1,Churned,Competitor
9367-WXLCH,Male,0,8,New Customer,Fiber optic,Month-to-month,Bank transfer (automatic),84.5,662.65,Yes,United States,California,Glendale,51,No,No,No,835.28,2,Churned,Price
1918-ZBFQJ,Female,0,13,Medium,Fiber optic,Month-to-month,Electronic check,79.25,1111.65,Yes,United States,California,Glendale,48,No,No,No,1499.42,1,Churned,Competitor
1024-GUALD,Female,0,1,New Customer,DSL,Month-to-month,Electronic check,24.8,24.8,Yes,United States,California,Glendale,29,Yes,Yes,No,24.8,1,Churned,Dissatisfaction
2472-OVKUP,Male,0,6,New Customer,Fiber optic,Month-to-month,Electronic check,91,531,Yes,United States,California,Canoga Park,39,No,Yes,No,783.48,2,Churned,Dissatisfaction
1285-OKIPP,Male,0,1,New Customer,Fiber optic,Month-to-month,Electronic check,79.9,79.9,Yes,United States,California,Mission Hills,62,No,No,No,103.1,2,Churned,Attitude
7825-ECJRF,Female,0,19,Medium,Fiber optic,Month-to-month,Electronic check,106.6,1934.45,Yes,United States,California,Santa Clarita,43,No,No,Yes,2491.38,1,Churned,Dissatisfaction
7841-TZDMQ,Male,0,2,New Customer,DSL,Month-to-month,Credit card (automatic),46,84.5,Yes,United States,California,Sun Valley,19,Yes,No,No,184.12,3,Churned,Other
9408-SSNVZ,Female,0,4,New Customer,Fiber optic,Month-to-month,Electronic check,70.15,268.35,Yes,United States,California,Stevenson Ranch,39,No,No,No,364.26,2,Churned,Other
0742-MOABM,Male,0,4,New Customer,DSL,Month-to-month,Mailed check,50.05,179.35,Yes,United States,California,Panorama City,50,No,Yes,Yes,218.03,2,Churned,Competitor
2232-DMLXU,Female,0,1,New Customer,DSL,Month-to-month,Mailed check,55.2,55.2,Yes,United States,California,Van Nuys,22,Yes,Yes,No,90.8,2,Churned,Dissatisfaction
8937-RDTHP,Male,0,1,New Customer,Fiber optic,Month-to-month,Mailed check,84.6,84.6,Yes,United States,California,Burbank,40,No,No,No,111.45,2,Churned,Dissatisfaction
1251-KRREG,Male,0,2,New Customer,DSL,Month-to-month,Mailed check,54.4,114.1,Yes,United States,California,North Hollywood,22,Yes,No,No,202.72,3,Churned,Price
0094-OIFMO,Female,1,11,New Customer,Fiber optic,Month-to-month,Electronic check,95,1120.3,Yes,United States,California,North Hollywood,78,No,No,No,1367.79,1,Churned,Dissatisfaction
9947-OTFQU,Male,1,15,Medium,Fiber optic,Month-to-month,Electronic check,74.4,1074.3,Yes,United States,California,Covina,65,No,No,No,1510.95,1,Churned,Competitor
0322-YINQP,Male,0,1,New Customer,DSL,Month-to-month,Mailed check,48.55,48.55,Yes,United States,California,Covina,37,No,No,No,59.9,1,Churned,Attitude
4629-NRXKX,Female,0,2,New Customer,Fiber optic,Month-to-month,Electronic check,70.4,147.15,Yes,United States,California,El Monte,47,No,Yes,No,239.61,1,Churned,Dissatisfaction
9514-JDSKI,Male,1,1,New Customer,DSL,Month-to-month,Electronic check,40.2,40.2,Yes,United States,California,El Monte,77,No,Yes,No,40.2,2,Churned,Dissatisfaction
4959-JOSRX,Female,0,2,New Customer,DSL,Month-to-month,Credit card (automatic),44.6,80.55,Yes,United States,California,La Puente,41,No,Yes,No,140.93,2,Churned,Price
7273-TEFQD,Male,1,3,New Customer,DSL,Month-to-month,Electronic check,41.15,132.2,Yes,United States,California,La Puente,67,No,No,No,132.2,2,Churned,Price
3606-TWKGI,Male,1,13,Medium,Fiber optic,Month-to-month,Electronic check,106.9,1364.3,Yes,United States,California,Rowland Heights,68,No,No,No,1799.14,1,Churned,Competitor
6323-AYBRX,Male,0,59,Loyal Customer,No,Two year,Mailed check,19.35,1099.6,Yes,United States,California,Ontario,51,No,No,No,2656.55,3,Churned,Price
4385-GZQXV,Female,1,16,Medium,Fiber optic,Month-to-month,Electronic check,94.45,1511.2,Yes,United States,California,Ontario,68,No,No,Yes,1662.08,1,Churned,Competitor
6366-ZGQGL,Male,0,1,New Customer,DSL,Month-to-month,Bank transfer (automatic),24.8,24.8,Yes,United States,California,Pomona,60,No,No,No,24.8,2,Churned,Dissatisfaction
5940-AHUHD,Male,0,1,New Customer,Fiber optic,Month-to-month,Mailed check,70.6,70.6,Yes,United States,California,Pomona,30,No,No,No,115.19,2,Churned,Attitude
6432-TWQLB,Male,0,5,New Customer,Fiber optic,Month-to-month,Electronic check,85.4,401.1,Yes,United States,California,Rosemead,51,No,Yes,Yes,567.18,3,Churned,Dissatisfaction
4484-GLZOU,Female,0,52,Loyal Customer,Fiber optic,Month-to-month,Electronic check,105.05,5624.85,Yes,United States,California,San Dimas,20,Yes,Yes,No,6147.93,2,Churned,Other
9512-UIBFX,Male,0,18,Medium,Fiber optic,Month-to-month,Mailed check,95.15,1779.95,Yes,United States,California,West Covina,52,No,Yes,No,1796.96,3,Churned,Other
5583-SXDAG,Male,0,1,New Customer,Fiber optic,Month-to-month,Electronic check,70,70,Yes,United States,California,Alhambra,41,No,Yes,No,99.15,3,Churned,Other
3488-PGMQJ,Male,1,8,New Customer,Fiber optic,Month-to-month,Electronic check,74.5,606.55,Yes,United States,California,Alpine,66,No,No,No,620.79,2,Churned,Dissatisfaction
3580-REOAC,Male,0,10,New Customer,DSL,Month-to-month,Credit card (automatic),44.85,435.4,Yes,United States,California,Bonita,34,No,No,No,931.2,2,Churned,Competitor
7534-BFESC,Male,1,24,Medium,Fiber optic,Month-to-month,Electronic check,76.1,1712.7,Yes,United States,California,Boulevard,69,No,No,No,2453.58,2,Churned,Competitor
6390-DSAZX,Female,0,1,New Customer,Fiber optic,Month-to-month,Mailed check,73.6,73.6,Yes,United States,California,Guatay,21,Yes,No,No,79.79,1,Churned,Competitor
8098-LLAZX,Female,1,4,New Customer,Fiber optic,Month-to-month,Electronic check,95.45,396.1,Yes,United States,California,Jacumba,74,No,No,No,522.54,3,Churned,Competitor
0265-EDXBD,Male,1,32,Medium,Fiber optic,Month-to-month,Electronic check,74.9,2303.35,Yes,United States,California,Mount Laguna,76,No,Yes,No,3818.23,2,Churned,Attitude
7563-BIUPC,Male,0,5,New Customer,Fiber optic,Month-to-month,Electronic check,80.6,415.55,Yes,United States,California,Borrego Springs,30,No,No,No,448.01,2,Churned,Competitor
2321-OMBXY,Female,0,38,Loyal Customer,DSL,One year,Credit card (automatic),80.3,3058.65,Yes,United States,California,Carlsbad,55,No,Yes,Yes,4659.97,1,Churned,Other
2840-XANRC,Male,1,24,Medium,Fiber optic,Month-to-month,Electronic check,93.15,2231.05,Yes,United States,California,Del Mar,77,No,Yes,No,2617.45,2,Churned,Competitor
5020-ZSTTY,Female,1,54,Loyal Customer,DSL,One year,Bank transfer (automatic),82.45,4350.1,Yes,United States,California,El Cajon,70,No,No,Yes,5002.42,1,Churned,Competitor
5804-LEPIM,Female,1,2,New Customer,Fiber optic,Month-to-month,Electronic check,70.35,139.05,Yes,United States,California,Escondido,74,No,No,No,165.39,3,Churned,Other
0122-OAHPZ,Female,0,7,New Customer,Fiber optic,Month-to-month,Electronic check,73.85,511.25,Yes,United States,California,Oceanside,29,Yes,No,No,698.56,3,Churned,Competitor
2868-SNELZ,Female,0,2,New Customer,Fiber optic,Month-to-month,Mailed check,80.6,155.8,Yes,United States,California,Pala,54,No,No,No,166.44,1,Churned,Competitor
4322-RCYMT,Male,0,68,Loyal Customer,DSL,One year,Bank transfer (automatic),75.8,5293.95,Yes,United States,California,Palomar Mountain,63,No,Yes,Yes,7368.19,3,Churned,Competitor
6680-NENYN,Female,0,43,Loyal Customer,Fiber optic,Two year,Electronic check,104.6,4759.85,Yes,United States,California,Pauma Valley,24,Yes,No,No,5313.69,1,Churned,Competitor
1343-EHPYB,Male,0,63,Loyal Customer,Fiber optic,Month-to-month,Electronic check,103.4,6603,Yes,United States,California,Ranchita,61,No,Yes,No,9686.85,2,Churned,Competitor
2034-GDRCN,Female,0,2,New Customer,Fiber optic,Month-to-month,Electronic check,90.4,168.2,Yes,United States,California,Valley Center,47,No,No,No,189.26,3,Churned,Other
0219-YTZUE,Male,0,4,New Customer,Fiber optic,Month-to-month,Bank transfer (automatic),84.8,371.9,Yes,United States,California,San Diego,26,Yes,Yes,No,486.98,3,Churned,Competitor
0623-IIHUG,Female,1,21,Medium,DSL,Month-to-month,Electronic check,41.9,840.1,Yes,United States,California,San Diego,77,No,No,No,840.1,1,Churned,Competitor
4572-DVCGN,Female,0,10,New Customer,Fiber optic,Month-to-month,Bank transfer (automatic),80.25,846,Yes,United States,California,San Diego,40,No,No,No,1117,3,Churned,Competitor
9057-MSWCO,Male,1,27,Medium,DSL,Month-to-month,Credit card (automatic),30.75,805.1,Yes,United States,California,San Diego,71,No,Yes,No,945.1,1,Churned,Competitor
1010-DIAUQ,Male,0,5,New Customer,Fiber optic,Month-to-month,Bank transfer (automatic),96.5,492.55,Yes,United States,California,San Diego,54,No,No,No,596.85,3,Churned,Competitor
0259-GBZSH,Male,0,2,New Customer,Fiber optic,Month-to-month,Electronic check,85.65,181.5,Yes,United States,California,San Diego,22,Yes,No,No,262.36,1,Churned,Competitor
9601-BRXPO,Female,0,25,Medium,Fiber optic,Month-to-month,Bank transfer (automatic),104.95,2566.5,Yes,United States,California,San Diego,48,No,Yes,Yes,2789.25,3,Churned,Competitor
6905-NIQIN,Male,0,1,New Customer,DSL,Month-to-month,Mailed check,50.65,50.65,Yes,United States,California,San Diego,26,Yes,No,No,65.43,1,Churned,Competitor
5167-ZFFMM,Male,0,1,New Customer,Fiber optic,Month-to-month,Credit card (automatic),90.85,90.85,Yes,United States,California,Indio,64,No,No,No,99.41,3,Churned,Competitor
4895-TMWIR,Male,1,11,New Customer,No,Month-to-month,Mailed check,19.95,214.75,Yes,United States,California,Indian Wells,79,No,Yes,No,539.69,1,Churned,Competitor
0533-BNWKF,Female,1,55,Loyal Customer,Fiber optic,Month-to-month,Electronic check,85.45,4874.7,Yes,United States,California,Palm Desert,66,No,Yes,No,7319.8,1,Churned,Competitor
6599-CEBNN,Female,0,34,Medium,Fiber optic,Month-to-month,Credit card (automatic),73.95,2524.45,Yes,United States,California,Desert Hot Springs,63,No,No,No,2577.15,3,Churned,Competitor
0979-PHULV,Male,0,69,Loyal Customer,Fiber optic,Month-to-month,Credit card (automatic),99.45,7007.6,Yes,United States,California,Holtville,30,No,Yes,No,10374.8,3,Churned,Competitor
4800-VHZKI,Female,0,1,New Customer,No,Month-to-month,Mailed check,19.9,19.9,Yes,United States,California,Niland,59,No,No,No,56.53,3,Churned,Competitor
7989-CHGTL,Male,0,1,New Customer,No,Month-to-month,Mailed check,19.6,19.6,Yes,United States,California,North Palm Springs,52,No,No,No,33.77,1,Churned,Competitor
0334-GDDSO,Male,1,3,New Customer,Fiber optic,Month-to-month,Electronic check,81.35,233.7,Yes,United States,California,Ocotillo,77,No,No,No,261.36,1,Churned,Competitor
0578-SKVMF,Female,0,22,Medium,Fiber optic,Month-to-month,Electronic check,83.3,1845.9,Yes,United States,California,Seeley,23,Yes,Yes,No,1934.12,1,Churned,Competitor
5564-NEMQO,Female,1,1,New Customer,Fiber optic,Month-to-month,Bank transfer (automatic),75.3,75.3,Yes,United States,California,Thermal,80,No,No,No,130.39,2,Churned,Dissatisfaction
9063-ZGTUY,Female,0,61,Loyal Customer,No,Month-to-month,Mailed check,19.4,1182.55,Yes,United States,California,Adelanto,22,Yes,Yes,No,4005.02,3,Churned,Price
2957-LOLHO,Male,0,12,New Customer,DSL,Month-to-month,Bank transfer (automatic),45.4,518.9,Yes,United States,California,Apple Valley,49,No,No,No,652.34,3,Churned,Competitor
7752-XUSCI,Female,0,60,Loyal Customer,Fiber optic,Month-to-month,Electronic check,105.9,6396.45,Yes,United States,California,Crestline,20,Yes,No,No,7038.45,2,Churned,Other
4110-PFEUZ,Female,0,1,New Customer,Fiber optic,Month-to-month,Mailed check,69.55,69.55,Yes,United States,California,Daggett,54,No,No,No,99.33,1,Churned,Competitor
0256-LTHVJ,Female,0,28,Medium,Fiber optic,Month-to-month,Electronic check,81.05,2227.1,Yes,United States,California,Ludlow,58,No,Yes,No,2698.9,1,Churned,Competitor
0880-TKATG,Male,0,4,New Customer,Fiber optic,Month-to-month,Electronic check,101.15,385.9,Yes,United States,California,Lucerne Valley,21,Yes,Yes,No,424.14,1,Churned,Competitor
3811-VBYBZ,Male,0,7,New Customer,Fiber optic,Month-to-month,Electronic check,99.8,673.25,Yes,United States,California,Lytle Creek,61,No,No,No,1012.46,1,Churned,Competitor
4640-UHDOS,Female,0,13,Medium,DSL,Month-to-month,Electronic check,55.95,734.35,Yes,United States,California,Phelan,60,No,Yes,No,982,1,Churned,Competitor
3583-EKAPL,Male,0,1,New Customer,DSL,Month-to-month,Electronic check,55,55,Yes,United States,California,Redlands,25,Yes,No,No,102.22,1,Churned,Competitor
9399-APLBT,Female,0,1,New Customer,Fiber optic,Month-to-month,Electronic check,74.7,74.7,Yes,United States,California,Rialto,52,No,Yes,No,96.61,1,Churned,Competitor
2359-KMGLI,Male,0,24,Medium,Fiber optic,Month-to-month,Electronic check,80.25,1861.5,Yes,United States,California,Running Springs,52,No,No,No,3044.7,1,Churned,Competitor
0306-JAELE,Male,0,5,New Customer,Fiber optic,Month-to-month,Electronic check,96.1,453.4,Yes,United States,California,Tecopa,61,No,No,Yes,608.85,1,Churned,Competitor
6227-HWPWX,Female,0,15,Medium,Fiber optic,Month-to-month,Bank transfer (automatic),69,994.8,Yes,United States,California,Victorville,40,No,No,No,1064.85,1,Churned,Competitor
0447-BEMNG,Female,0,48,Loyal Customer,DSL,Month-to-month,Bank transfer (automatic),45.3,2145,Yes,United States,California,Wrightwood,28,Yes,Yes,No,2285,1,Churned,Price
5949-XIKAE,Female,0,8,New Customer,Fiber optic,Month-to-month,Electronic check,83.55,680.05,Yes,United States,California,San Bernardino,32,No,Yes,No,938.61,1,Churned,Dissatisfaction
8372-JUXUI,Male,0,1,New Customer,Fiber optic,Month-to-month,Electronic check,74.35,74.35,Yes,United States,California,San Bernardino,32,No,No,No,88.37,1,Churned,Competitor
0388-EOPEX,Female,0,2,New Customer,Fiber optic,Month-to-month,Electronic check,74.4,139.4,Yes,United States,California,Riverside,28,Yes,Yes,No,158.98,1,Churned,Attitude
8205-OTCHB,Male,0,22,Medium,DSL,One year,Bank transfer (automatic),43.75,903.6,Yes,United States,California,Riverside,51,No,No,No,903.6,3,Churned,Dissatisfaction
6235-VDHOM,Female,1,5,New Customer,DSL,Month-to-month,Electronic check,28.45,131.05,Yes,United States,California,Riverside,77,No,No,No,131.05,2,Churned,Dissatisfaction
7783-YKGDV,Female,0,12,New Customer,Fiber optic,Month-to-month,Bank transfer (automatic),99.7,1238.45,Yes,United States,California,March Air Reserve Base,49,No,No,No,1431.29,1,Churned,Price
5609-CEBID,Female,1,20,Medium,Fiber optic,Month-to-month,Electronic check,94.1,1782.4,Yes,United States,California,Hemet,77,No,No,No,2837,1,Churned,Competitor
7218-HKQFK,Male,0,2,New Customer,Fiber optic,Month-to-month,Electronic check,94.2,167.5,Yes,United States,California,Homeland,49,No,Yes,Yes,205.08,2,Churned,Other
4636-QRJKY,Female,0,6,New Customer,Fiber optic,Month-to-month,Electronic check,80.5,502.85,Yes,United States,California,Idyllwild,64,No,Yes,Yes,719.57,3,Churned,Price
5956-VKDTT,Female,1,5,New Customer,Fiber optic,Month-to-month,Electronic check,74.35,334.8,Yes,United States,California,Moreno Valley,72,No,Yes,No,563.6,1,Churned,Dissatisfaction
9412-GHEEC,Male,0,40,Loyal Customer,Fiber optic,Month-to-month,Bank transfer (automatic),104.8,4131.95,Yes,United States,California,Murrieta,55,No,No,Yes,5555.15,1,Churned,Competitor
0257-ZESQC,Female,1,27,Medium,Fiber optic,Month-to-month,Bank transfer (automatic),75.2,1929.35,Yes,United States,California,Perris,80,No,Yes,No,2118.89,1,Churned,Attitude
6825-UYPFK,Female,0,23,Medium,Fiber optic,Month-to-month,Bank transfer (automatic),75.6,1758.6,Yes,United States,California,Sun City,47,No,No,No,2393.63,1,Churned,Dissatisfaction
8397-MVTAZ,Male,0,34,Medium,Fiber optic,Month-to-month,Electronic check,100.05,3480,Yes,United States,California,Sun City,22,Yes,Yes,No,4285.06,3,Churned,Other
9282-IZGQK,Female,0,1,New Customer,Fiber optic,Month-to-month,Electronic check,85,85,Yes,United States,California,Irvine,51,No,No,No,115.52,3,Churned,Other
1342-JPNKI,Male,0,10,New Customer,Fiber optic,Month-to-month,Bank transfer (automatic),86.05,834.1,Yes,United States,California,Lake Forest,33,No,No,No,893.3,3,Churned,Other
2817-NTQDO,Male,0,13,Medium,DSL,Month-to-month,Credit card (automatic),45.55,597,Yes,United States,California,Huntington Beach,52,No,No,Yes,597,3,Churned,Dissatisfaction
6986-IJDHX,Male,0,39,Loyal Customer,Fiber optic,Month-to-month,Mailed check,86.3,3266,Yes,United States,California,Huntington Beach,29,Yes,Yes,No,4835.75,1,Churned,Competitor
5301-GAUUY,Male,0,32,Medium,Fiber optic,Month-to-month,Bank transfer (automatic),80.35,2596.15,Yes,United States,California,Newport Beach,31,No,No,No,2643.83,1,Churned,Competitor
0939-YAPAF,Female,0,35,Medium,Fiber optic,Month-to-month,Electronic check,100.25,3527.6,Yes,United States,California,Santa Ana,44,No,No,No,3894.75,3,Churned,Competitor
4710-FDUIZ,Male,0,56,Loyal Customer,Fiber optic,One year,Credit card (automatic),100.3,5614.45,Yes,United States,California,Santa Ana,50,No,Yes,No,7178.85,2,Churned,Competitor
1218-VKFPE,Female,0,12,New Customer,No,Month-to-month,Mailed check,19,233.55,Yes,United States,California,Anaheim,48,No,Yes,No,467.31,1,Churned,Competitor
3627-FHKBK,Female,0,1,New Customer,Fiber optic,Month-to-month,Mailed check,75.3,75.3,Yes,United States,California,Anaheim,28,Yes,No,No,79.43,1,Churned,Competitor
2865-TCHJW,Female,1,4,New Customer,Fiber optic,Month-to-month,Electronic check,89.2,346.2,Yes,United States,California,Anaheim,74,No,No,No,539.6,1,Churned,Competitor
5192-EBGOV,Female,1,1,New Customer,Fiber optic,Month-to-month,Electronic check,85.7,85.7,Yes,United States,California,Brea,68,No,No,No,131.51,1,Churned,Competitor
0719-SYFRB,Female,0,12,New Customer,DSL,Month-to-month,Mailed check,61.65,713.75,Yes,United States,California,Norco,52,No,No,Yes,1148.63,1,Churned,Competitor
3419-SNJJD,Female,1,65,Loyal Customer,Fiber optic,Month-to-month,Bank transfer (automatic),105.25,6786.4,Yes,United States,California,Yorba Linda,78,No,Yes,No,7981.75,1,Churned,Attitude
6543-CPZMK,Male,0,9,New Customer,DSL,Month-to-month,Electronic check,29.95,248.95,Yes,United States,California,Ventura,32,No,Yes,No,258.95,2,Churned,Competitor
4765-OXPPD,Female,0,9,New Customer,DSL,Month-to-month,Mailed check,65,663.05,Yes,United States,California,Ventura,20,Yes,Yes,Yes,720.2,1,Churned,Competitor
1009-IRMNA,Female,0,7,New Customer,No,Month-to-month,Bank transfer (automatic),20,137.6,Yes,United States,California,Port Hueneme,27,Yes,No,No,249.88,3,Churned,Attitude
4554-YGZIH,Male,1,49,Loyal Customer,Fiber optic,Month-to-month,Credit card (automatic),90.05,4547.25,Yes,United States,California,Summerland,75,No,Yes,No,5670.33,2,Churned,Competitor
